epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,6655.77,0.8341,0.64322,1.1941,0.64636,0.53598,0.57124,0.33398,1.63726,1.57558,2.12743,2.00556e-05,2.00556e-05,2.00556e-05
40,6806.21,0.82356,0.62251,1.18446,0.68611,0.50109,0.56888,0.33211,1.6347,1.57354,2.12886,1.84518e-05,1.84518e-05,1.84518e-05
41,6956.43,0.74268,0.48284,1.18531,0.66238,0.51108,0.55955,0.32588,1.63394,1.52934,2.13677,1.6848e-05,1.6848e-05,1.6848e-05
42,7105.74,0.70935,0.45469,1.15797,0.66546,0.51749,0.56342,0.32935,1.62843,1.54173,2.14257,1.52442e-05,1.52442e-05,1.52442e-05
43,7254.89,0.68856,0.43911,1.14383,0.65781,0.51843,0.57209,0.33546,1.6116,1.52678,2.13865,1.36404e-05,1.36404e-05,1.36404e-05
44,7404,0.68161,0.43001,1.14695,0.69585,0.50346,0.57062,0.33209,1.61116,1.54718,2.13986,1.20366e-05,1.20366e-05,1.20366e-05
45,7553.08,0.66876,0.42349,1.13309,0.7022,0.5035,0.5718,0.33735,1.61403,1.53935,2.16236,1.04328e-05,1.04328e-05,1.04328e-05
46,7702.16,0.65522,0.40731,1.11953,0.65415,0.50697,0.56141,0.33581,1.61439,1.54026,2.17112,8.829e-06,8.829e-06,8.829e-06
47,7851.35,0.6423,0.40657,1.1101,0.68787,0.49938,0.57111,0.3369,1.60928,1.55553,2.17259,7.2252e-06,7.2252e-06,7.2252e-06
48,8000.33,0.63881,0.39602,1.10879,0.63185,0.54049,0.57064,0.33646,1.60925,1.54647,2.17719,5.6214e-06,5.6214e-06,5.6214e-06
49,8149.4,0.62795,0.39883,1.10268,0.67888,0.50597,0.56605,0.33752,1.60036,1.54445,2.17318,4.0176e-06,4.0176e-06,4.0176e-06
50,8299.49,0.62181,0.38656,1.10079,0.69714,0.50705,0.57379,0.33851,1.59964,1.54703,2.17763,2.4138e-06,2.4138e-06,2.4138e-06
