epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,5780.86,0.63691,0.47166,1.07007,0.66212,0.50808,0.55004,0.34664,1.53778,1.63107,2.14732,2.00556e-05,2.00556e-05,2.00556e-05
40,5927.39,0.62528,0.45744,1.06399,0.68879,0.49079,0.55406,0.34978,1.52494,1.62884,2.1331,1.84518e-05,1.84518e-05,1.84518e-05
41,6074.06,0.53546,0.33792,1.03002,0.64892,0.53169,0.56965,0.34929,1.54401,1.53105,2.15742,1.6848e-05,1.6848e-05,1.6848e-05
42,6220.14,0.51499,0.31953,1.01508,0.62711,0.52526,0.56075,0.34816,1.53832,1.59751,2.15795,1.52442e-05,1.52442e-05,1.52442e-05
43,6366.4,0.49998,0.31063,1.00745,0.6482,0.52115,0.56284,0.34719,1.53699,1.57703,2.17021,1.36404e-05,1.36404e-05,1.36404e-05
44,6512.8,0.49741,0.30783,1.01115,0.65697,0.51539,0.55624,0.35045,1.53523,1.57607,2.17107,1.20366e-05,1.20366e-05,1.20366e-05
45,6659.44,0.48915,0.30339,1.00119,0.71557,0.50216,0.56741,0.35026,1.53028,1.56415,2.17687,1.04328e-05,1.04328e-05,1.04328e-05
46,6806.05,0.4807,0.29174,0.99416,0.6628,0.52396,0.56945,0.3544,1.52141,1.56389,2.18523,8.829e-06,8.829e-06,8.829e-06
47,6952.89,0.47093,0.29089,0.989,0.66941,0.51639,0.5649,0.35203,1.52665,1.59528,2.18114,7.2252e-06,7.2252e-06,7.2252e-06
48,7099.71,0.46784,0.28664,0.98603,0.66722,0.52339,0.56969,0.35512,1.51816,1.58257,2.18178,5.6214e-06,5.6214e-06,5.6214e-06
49,7246.91,0.46641,0.28732,0.99115,0.67723,0.52072,0.56136,0.35016,1.51928,1.57765,2.18234,4.0176e-06,4.0176e-06,4.0176e-06
50,7394.19,0.46041,0.28038,0.98768,0.67155,0.5219,0.56381,0.35119,1.50952,1.58148,2.17213,2.4138e-06,2.4138e-06,2.4138e-06
